FPR,TPR,Threshold
0.0,0.0,1.9277447389680056
0.0,0.010752688172043012,0.9277447389680055
0.0,0.08602150537634409,0.8978507473491987
0.041666666666666664,0.08602150537634409,0.8963822679351383
0.041666666666666664,0.12903225806451613,0.8793464491345055
0.08333333333333333,0.12903225806451613,0.8718225047093828
0.08333333333333333,0.13978494623655913,0.8566250100924122
0.14583333333333334,0.13978494623655913,0.8324749561361304
0.14583333333333334,0.17204301075268819,0.8260753320293609
0.16666666666666666,0.17204301075268819,0.824524684232825
0.16666666666666666,0.1827956989247312,0.8222803858643767
0.1875,0.1827956989247312,0.8161572654104912
0.1875,0.23655913978494625,0.8075233015873707
0.22916666666666666,0.23655913978494625,0.8053561798979759
0.22916666666666666,0.2903225806451613,0.7998574905782699
0.25,0.2903225806451613,0.7998269216813673
0.25,0.3118279569892473,0.7983234183730379
0.2708333333333333,0.3118279569892473,0.7977173822934182
0.2708333333333333,0.4731182795698925,0.7894834019900575
0.2916666666666667,0.4731182795698925,0.7881898336772625
0.2916666666666667,0.4838709677419355,0.7877956843410945
0.3125,0.4838709677419355,0.7872421653751608
0.3125,0.6666666666666666,0.7767973227215015
0.3333333333333333,0.6666666666666666,0.7766752425249359
0.3333333333333333,0.7634408602150538,0.7672969633387955
0.3541666666666667,0.7634408602150538,0.7670162732448402
0.3541666666666667,0.7741935483870968,0.7667675591999839
0.375,0.7741935483870968,0.7656489763604959
0.375,0.8172043010752689,0.7635635731342905
0.3958333333333333,0.8172043010752689,0.761910054870681
0.3958333333333333,0.8494623655913979,0.7546548125006822
0.4166666666666667,0.8494623655913979,0.753356374031867
0.4166666666666667,0.9354838709677419,0.7274252090114912
0.4375,0.9354838709677419,0.7269374824612186
0.4375,0.946236559139785,0.7204488271158441
0.4583333333333333,0.946236559139785,0.7197698934192431
0.4583333333333333,0.978494623655914,0.7028322642253272
0.4791666666666667,0.978494623655914,0.6942782365252411
0.4791666666666667,1.0,0.6203303827237017
1.0,1.0,0.1048719636727119
